Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Logmani-Aßmann, J., Lindahl, K.B., Krott, M., Burns, S.L., Giessen, L.","57425006600; 55371134800; 6601964565; 25929048000; 26428061200","Forest Set-Aside Policy for International Biodiversity Targets? Obstructive Bureaucratic Territoriality in Germany and Sweden",2022,"International Forestry Review",23,"4",,448,461,,,10.1505/146554821834777251,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85123434669&partnerID=40&md5=1082d43921b2bfbecc4dc1187bf4fbf2",Article,Final,"",Scopus,2-s2.0-85123434669
"Carvalho, S., Asgedom, A., Rose, P.","57803582800; 57208647772; 9432808500","Whose voice counts? Examining government-donor negotiations in the design of Ethiopia’s large-scale education reforms for equitable learning",2022,"Development Policy Review",40,"5", e12634,,,,,10.1111/dpr.12634,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85134197416&partnerID=40&md5=b00ed7f509c4c5ce6ce1dcae9e640cdb",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85134197416
"Reveilhac, M.","57220747634","The deployment of social media by political authorities and health experts to enhance public information during the COVID-19 pandemic",2022,"SSM - Population Health",19,"", 101165,,,,,10.1016/j.ssmph.2022.101165,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85133947009&partnerID=40&md5=f3cbf6131538256659f1b2251680e8df",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85133947009
"Poulsen, B.","23395276600","When Civil Servants Go Frontstage—The Mediatization of the Role of the Civil Servant during the COVID-19 Crisis",2022,"Administrative Sciences",12,"3", 73,,,,,10.3390/admsci12030073,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85133532431&partnerID=40&md5=7501aa4e760a69cc9b16bf2b088c1f54",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85133532431
"Dietrich, S., Reinsberg, B., Steinwand, M.C.","56954444500; 56436540900; 23670732300","Donor bureaucratic organisation and the pursuit of performance-based aid through multilateral trust funds",2022,"Journal of International Relations and Development",25,"3",,709,738,,,10.1057/s41268-022-00259-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85128905812&partnerID=40&md5=1f0bb420ca8618ef3c026e5962486b1c",Article,Final,"",Scopus,2-s2.0-85128905812
"Bernal, V.","6603337901","The Cultural Construction of Cybersecurity: Digital Threats and Dangerous Rhetoric | A Construção Cultural da Cibersegurança: Ameaças Digitais e Retórica Perigosa",2022,"Anthropological Quarterly",94,"4", 845671,611,638,,,10.1353/anq.2021.0037,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85123360216&partnerID=40&md5=345bfc2ee243dbd89ec564d6055608af",Article,Final,"",Scopus,2-s2.0-85123360216
"Liu, J.M.","57217870032","From “Sea Turtles” to “Grassroots Ambassadors”: The Chinese Politics of Outbound Student Migration",2022,"International Migration Review",56,"3",,702,726,,2,10.1177/01979183211046572,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85118592451&partnerID=40&md5=a4e7a8c07509bd196a833436aa639600",Review,Final,"",Scopus,2-s2.0-85118592451
"Wheatley, D.","57195152775","Irish audiences and news information from official sources during Covid-19",2022,"Administration",70,"3",,7,32,,,10.2478/admin-2022-0017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85135881116&partnerID=40&md5=84938f6c4a46cc1b321e99f80a4c40ae",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85135881116
"Saikkonen, S., Väliverronen, E.","56150752600; 56124406300","The trickle-down of political and economic control: On the organizational suppression of environmental scientists in government science",2022,"Social Studies of Science",52,"4",,603,617,,,10.1177/03063127221093397,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85129754561&partnerID=40&md5=48b58e2b5024c5120d9857b33f94ee88",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85129754561
"Kappe, R., Schuster, C.","54890103100; 57188769754","Agents of past principals: The lasting effects of incumbents on the political ideology of bureaucrats",2022,"European Journal of Political Research",61,"3",,807,828,,1,10.1111/1475-6765.12473,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85110074857&partnerID=40&md5=1ec29cc3d1299335ff09214d342ffcff",Article,Final,"",Scopus,2-s2.0-85110074857
"Zhang, Q., Hou, L.","55552445700; 56210563200","Power Distribution and Distributive Politics in Local Developmental States: Evidence from China's Subnational Land Fiscalization",2022,"Journal of East Asian Studies",22,"2",,231,253,,,10.1017/jea.2022.4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85126943136&partnerID=40&md5=3d4db36fd7acdbd6662ea1cf651f8fe3",Article,Final,"",Scopus,2-s2.0-85126943136
"Wood, J.A.","57828813800","Order and Disorder in the Court: Press Law, Politics, and the Sedition Trials of Chile's Early Republic, 1813-1851",2022,"Americas",79,"3",,425,456,,,10.1017/tam.2022.3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85135308382&partnerID=40&md5=51f6dab9d0c6e762a7359dd4884651e8",Article,Final,"",Scopus,2-s2.0-85135308382
